size,clique
4,"sante_de_sanctis | giovanni_mingazzini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
4,"giovanni_mingazzini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
4,"sante_de_sanctis | gioacchino_fumarola | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
4,"gioacchino_fumarola | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
4,"eugenio_medea | angelo_de_vincenti | antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
4,"angelo_de_vincenti | antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro | lorenzo_ellero"
4,"dario_de_martis | carlo_lorenzo_cazzullo | virginio_porta | neurodeliri_di_niguarda"
4,"eugenio_medea | serafino_biffi | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi"
4,"serafino_biffi | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi | andrea_verga"
4,"eugenio_tanzi | mario_zalla | clinica_psichiatrica_dell_universit_di_firenze | filippo_cardona"
4,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi | ignazio_zani"
3,"lega_italiana_di_igiene_e_profilassi_mentale | enrico_morselli | sante_de_sanctis"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_besta"
3,"lega_italiana_di_igiene_e_profilassi_mentale | eugenio_tanzi | leonardo_bianchi"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi"
3,"enrico_morselli | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi"
3,"manicomio_san_lazzaro_di_reggio_emilia | camillo_golgi | carlo_besta"
3,"eugenio_medea | serafino_biffi | angelo_de_vincenti"
3,"serafino_biffi | angelo_de_vincenti | andrea_verga"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_basaglia | ludwig_binswanger"
3,"angelo_de_vincenti | cesare_lombroso | lorenzo_ellero"
3,"eugenio_medea | angelo_de_vincenti | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
3,"angelo_de_vincenti | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro | lorenzo_ellero"
3,"sante_de_sanctis | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
3,"virginio_porta | manicomio_san_lazzaro_di_reggio_emilia | carlo_besta"
3,"carlo_lorenzo_cazzullo | virginio_porta | carlo_besta"
3,"dario_de_martis | virginio_porta | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
3,"dario_de_martis | carlo_lorenzo_cazzullo | virginio_porta"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | giovanni_battista_pellizzi"
3,"eugenio_tanzi | manicomio_san_lazzaro_di_reggio_emilia | giovanni_battista_pellizzi"
3,"manicomio_san_lazzaro_di_reggio_emilia | giulio_cesare_ferrari | giovanni_battista_pellizzi"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | gaetano_perusini | ugo_cerletti"
3,"sante_de_sanctis | giovanni_mingazzini | gaetano_perusini"
3,"giovanni_mingazzini | gaetano_perusini | ugo_cerletti"
3,"augusto_tamburini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
