size,clique
5,"berta_neumann | mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri | gaetano_benedetti"
4,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | ernesto_belmondo | carlo_besta"
4,"giuseppe_corberi | lega_italiana_di_igiene_e_profilassi_mentale | giuseppe_antonini_senior | giulio_cesare_ferrari"
4,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | riccardo_bozzi | carlo_besta"
4,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | luigi_lugiato | riccardo_bozzi | carlo_besta"
4,"manicomio_san_lazzaro_di_reggio_emilia | luigi_lugiato | ernesto_belmondo | carlo_besta"
4,"dina_vallino | franco_fornari | societ_psicoanalitica_italiana | mauro_morra"
4,"mario_ponzo | societ_italiana_di_psicologia | federico_kiesow | agostino_gemelli"
4,"societ_italiana_di_psicologia | alberto_marzi | enzo_bonaventura | francesco_de_sarlo"
4,"istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | gaetano_kanizsa | angelo_majorana | fabio_metelli"
4,"mario_ponzo | istituto_nazionale_di_psicologia_del_consiglio_nazionale_delle_ricerche_cnr | angelo_majorana | ferruccio_banissoni"
4,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi | carlo_besta | silvio_brambilla"
4,"dina_vallino | franco_fornari | societ_psicoanalitica_italiana | luciana_nissim_momigliano"
4,"franco_fornari | societ_psicoanalitica_italiana | enzo_morpurgo | luciana_nissim_momigliano"
4,"centro_milanese_di_psicoanalisi_cesare_musatti | franco_fornari | luciana_nissim_momigliano | cesare_luigi_musatti"
4,"dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti | franco_fornari | luciana_nissim_momigliano"
4,"angelo_della_beffa | alberto_madeddu | ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi"
4,"eugenio_medea | angelo_della_beffa | alberto_madeddu | riccardo_bozzi"
4,"dario_de_martis | carlo_lorenzo_cazzullo | virginio_porta | neurodeliri_di_niguarda"
4,"eugenio_medea | serafino_biffi | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi"
4,"serafino_biffi | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi | andrea_verga"
4,"sante_de_sanctis | gioacchino_fumarola | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
4,"gioacchino_fumarola | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
4,"dario_de_martis | mara_palazzoli_selvini | virginio_porta | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
4,"dario_de_martis | berta_neumann | mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
4,"berta_neumann | mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | gaetano_benedetti"
4,"centro_milanese_di_psicoanalisi_cesare_musatti | giovanni_carlo_zapparoli | claudia_artoni_schlesinger | maria_mariolina_elvira_berrini"
4,"dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti | claudia_artoni_schlesinger | maria_mariolina_elvira_berrini"
4,"sante_de_sanctis | giovanni_mingazzini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
4,"giovanni_mingazzini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
4,"berta_neumann | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri | gaetano_benedetti"
4,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri | gaetano_benedetti | marialisa_billa_pedroni_zanuso"
4,"berta_neumann | mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri"
4,"mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri | gaetano_benedetti"
4,"berta_neumann | mara_palazzoli_selvini | emanuele_gualandri | gaetano_benedetti"
4,"carlo_de_sanctis | maria_venturini | giuseppe_ferruccio_montesano | giovanni_bollea"
4,"eugenio_medea | angelo_de_vincenti | antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
4,"angelo_de_vincenti | antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro | lorenzo_ellero"
4,"eugenio_medea | giuseppe_antonini_junior | carlo_pieraccini | villa_antonini_poi_stabilimento_sanitario_biffi"
4,"dario_de_martis | mara_palazzoli_selvini | virginio_porta | clinica_per_malattie_nervose_villa_fiorita_in_brugherio"
4,"dario_de_martis | berta_neumann | mara_palazzoli_selvini | clinica_per_malattie_nervose_villa_fiorita_in_brugherio"
4,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_basaglia | giovanni_gionni_jervis | agostino_pirella"
4,"franco_basaglia | letizia_comba | giovanni_gionni_jervis | agostino_pirella"
4,"carlo_de_sanctis | sante_de_sanctis | benigno_di_tullio | domenico_antonio_pisani"
4,"nicola_perrotti | edoardo_weiss | alessandra_wolff_stomersee_tomasi_di_palma_principessa_di_lampedusa | societ_psicoanalitica_italiana"
4,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | ernesto_belmondo | edgardo_isacco_morpurgo"
4,"giuseppe_corberi | lega_italiana_di_igiene_e_profilassi_mentale | luigi_baroncini | giulio_cesare_ferrari"
4,"giuseppe_corberi | luigi_baroncini | ospedale_psichiatrico_provinciale_di_bologna_in_imola | giulio_cesare_ferrari"
4,"carl_stumpf | kurt_koffka | wolfgang_k_hler | max_wertheimer"
4,"zaccaria_treves | federico_kiesow | angelo_mosso | istituto_di_fisiologia_umana_dell_universit_di_torino"
4,"eugenio_tanzi | mario_zalla | clinica_psichiatrica_dell_universit_di_firenze | filippo_cardona"
4,"lega_italiana_di_igiene_e_profilassi_mentale | giulio_cesare_ferrari | william_james | clifford_whittingham_beers"
4,"ernst_bernhard | dora_friedlaender_bernhard | mariella_gambino_loriga | associazione_italiana_di_psicologia_analitica_aipa_sezione_di_milano"
4,"ernst_bernhard | mario_moreno | dora_friedlaender_bernhard | associazione_italiana_di_psicologia_analitica_aipa_sezione_di_milano"
4,"alberto_marzi | enzo_bonaventura | maria_luisa_falorni | scuola_magistrale_ortofrenica_di_firenze"
4,"franco_basaglia | letizia_comba | agostino_pirella | antonio_slavich"
4,"gaetano_kanizsa | alberto_argenton | paolo_bozzi | fabio_metelli"
4,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi | ignazio_zani"
3,"lega_italiana_di_igiene_e_profilassi_mentale | enrico_morselli | sante_de_sanctis"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_besta"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_fornari | cesare_luigi_musatti"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi | carlo_besta"
3,"carlo_lorenzo_cazzullo | riccardo_bozzi | carlo_besta"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | ugo_cerletti | riccardo_bozzi"
