size,clique
4,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | riccardo_bozzi | carlo_besta"
4,"carlo_de_sanctis | maria_venturini | giuseppe_ferruccio_montesano | giovanni_bollea"
4,"berta_neumann | mara_palazzoli_selvini | emanuele_gualandri | gaetano_benedetti"
4,"franco_basaglia | letizia_comba | giovanni_gionni_jervis | agostino_pirella"
4,"carlo_de_sanctis | sante_de_sanctis | benigno_di_tullio | domenico_antonio_pisani"
4,"carl_stumpf | kurt_koffka | wolfgang_k_hler | max_wertheimer"
4,"franco_basaglia | letizia_comba | agostino_pirella | antonio_slavich"
4,"eugenio_medea | angelo_della_beffa | alberto_madeddu | riccardo_bozzi"
4,"gaetano_kanizsa | alberto_argenton | paolo_bozzi | fabio_metelli"
3,"carlo_lorenzo_cazzullo | riccardo_bozzi | carlo_besta"
3,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | carlo_besta"
3,"giuseppe_carlo_riquier | riccardo_bozzi | carlo_besta"
3,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | riccardo_bozzi"
3,"augusto_tamburini | ernesto_belmondo | carlo_besta"
3,"carlo_lorenzo_cazzullo | virginio_porta | carlo_besta"
3,"carlo_de_sanctis | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"carlo_de_sanctis | giuseppe_ferruccio_montesano | giovanni_bollea"
3,"giuseppe_antonini_senior | cesare_lombroso | lorenzo_ellero"
3,"angelo_majorana | sante_de_sanctis | ferruccio_banissoni"
3,"edoardo_weiss | sante_de_sanctis | ferruccio_banissoni"
3,"camillo_golgi | cesare_lombroso | paolo_mantegazza"
3,"giuseppe_amadei | cesare_lombroso | paolo_mantegazza"
3,"giuseppe_carlo_riquier | riccardo_bozzi | carlo_berlucchi"
3,"angelo_de_vincenti | cesare_lombroso | lorenzo_ellero"
3,"eugenio_medea | serafino_biffi | angelo_de_vincenti"
3,"serafino_biffi | angelo_de_vincenti | andrea_verga"
3,"angelo_de_vincenti | cesare_lombroso | paolo_mantegazza"
3,"edoardo_weiss | sante_de_sanctis | vittorio_benussi"
3,"gaetano_kanizsa | angelo_majorana | fabio_metelli"
3,"mario_ponzo | federico_kiesow | agostino_gemelli"
3,"mario_ponzo | angelo_majorana | ferruccio_banissoni"
3,"giuseppe_corberi | giuseppe_antonini_senior | giulio_cesare_ferrari"
3,"carlo_de_sanctis | sante_de_sanctis | domenico_antonio_pisani"
3,"giuseppe_sergi | sante_de_sanctis | giovanni_mingazzini"
3,"giuseppe_sergi | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"giuseppe_sergi | sante_de_sanctis | domenico_antonio_pisani"
3,"eugenio_medea | angelo_della_beffa | riccardo_bozzi"
3,"carlo_lorenzo_cazzullo | angelo_della_beffa | riccardo_bozzi"
3,"angelo_della_beffa | riccardo_bozzi | carlo_berlucchi"
3,"tito_vignoli | cesare_lombroso | paolo_mantegazza"
3,"camillo_golgi | cesare_lombroso | arturo_donaggio"
3,"eugenio_tanzi | leonardo_bianchi | vito_maria_buscaino"
3,"ernesto_lugaro | vito_maria_buscaino | carlo_berlucchi"
3,"ernesto_lugaro | vito_maria_buscaino | alfredo_coppola"
3,"maria_venturini | giuseppe_ferruccio_montesano | giovanni_bollea"
3,"carlo_de_sanctis | maria_venturini | giovanni_bollea"
3,"carlo_de_sanctis | maria_venturini | giuseppe_ferruccio_montesano"
3,"maria_venturini | maria_mariolina_elvira_berrini | giovanni_bollea"
3,"berta_neumann | agostino_gemelli | gaetano_benedetti"
3,"franco_fornari | luciana_nissim_momigliano | cesare_luigi_musatti"
3,"dina_vallino | franco_fornari | luciana_nissim_momigliano"
3,"franco_fornari | enzo_morpurgo | luciana_nissim_momigliano"
3,"emanuele_gualandri | gaetano_benedetti | marialisa_billa_pedroni_zanuso"
3,"berta_neumann | emanuele_gualandri | gaetano_benedetti"
3,"dario_de_martis | carlo_lorenzo_cazzullo | giuseppe_carlo_riquier"
3,"dario_de_martis | carlo_lorenzo_cazzullo | virginio_porta"
3,"serafino_biffi | andrea_verga | achille_sacchi"
3,"maria_venturini | nicola_perrotti | giovanni_bollea"
3,"enrico_morselli | sante_de_sanctis | gioacchino_fumarola"
3,"sante_de_sanctis | gioacchino_fumarola | giovanni_mingazzini"
3,"enrico_morselli | gioacchino_fumarola | ugo_cerletti"
3,"gioacchino_fumarola | giovanni_mingazzini | ugo_cerletti"
3,"leonardo_bianchi | gioacchino_fumarola | giovanni_mingazzini"
3,"luigi_lugiato | riccardo_bozzi | carlo_besta"
3,"luigi_lugiato | ernesto_belmondo | carlo_besta"
3,"giuseppe_antonini_senior | luigi_lugiato | lorenzo_ellero"
3,"gaetano_kanizsa | paolo_bozzi | fabio_metelli"
3,"vittorio_benussi | cesare_luigi_musatti | antonio_aliotta"
3,"leonardo_bianchi | giovanni_mingazzini | mario_panizza"
3,"emil_kraepelin | marco_levi_bianchini | ernesto_belmondo"
3,"ernesto_valentini | gaetano_kanizsa | fabio_metelli"
3,"franco_fornari | luigi_gino_pagliarani | cesare_luigi_musatti"
3,"dina_vallino | franco_fornari | luigi_gino_pagliarani"
3,"giuseppe_seppilli | giuseppe_amadei | silvio_tonnini"
3,"franco_basaglia | ferdinando_barison | ludwig_binswanger"
3,"gabriele_buccola | enrico_morselli | tito_vignoli"
3,"diego_napolitani | franco_fornari | luigi_gino_pagliarani"
3,"giulio_cesare_ferrari | alfred_binet | nicolae_vaschide"
3,"franco_basaglia | letizia_comba | giovanni_gionni_jervis"
3,"carl_stumpf | franz_brentano | kasimir_twardowski"
3,"sante_de_sanctis | giuseppe_ferruccio_montesano | pasquale_uva"
3,"sante_de_sanctis | giovanni_mingazzini | gaetano_perusini"
3,"giovanni_mingazzini | gaetano_perusini | ugo_cerletti"
3,"emil_kraepelin | gaetano_perusini | ugo_cerletti"
3,"mara_palazzoli_selvini | emanuele_gualandri | gaetano_benedetti"
3,"berta_neumann | mara_palazzoli_selvini | gaetano_benedetti"
3,"berta_neumann | mara_palazzoli_selvini | emanuele_gualandri"
3,"dario_de_martis | mara_palazzoli_selvini | virginio_porta"
3,"dario_de_martis | berta_neumann | mara_palazzoli_selvini"
3,"wolfgang_k_hler | max_wertheimer | paolo_bozzi"
3,"carl_stumpf | wolfgang_k_hler | max_wertheimer"
3,"fabrizio_napolitani | franco_basaglia | ludwig_binswanger"
3,"diego_napolitani | fabrizio_napolitani | ludwig_binswanger"
3,"letizia_comba | giovanni_gionni_jervis | ernesto_de_martino"
3,"eugenio_tanzi | leonardo_bianchi | rosolino_colella"
3,"rosolino_colella | camillo_golgi | cesare_lombroso"
3,"franco_fornari | mauro_morra | cesare_luigi_musatti"
3,"dina_vallino | franco_fornari | mauro_morra"
3,"riccardo_bozzi | carlo_besta | silvio_brambilla"
3,"ernesto_lugaro | gastone_canziani | alfredo_coppola"
3,"ernesto_lugaro | gastone_canziani | amos_chiabov"
3,"serafino_biffi | cesare_castiglioni | andrea_verga"
3,"serafino_biffi | cesare_castiglioni | carlo_livi"
3,"serafino_biffi | cesare_castiglioni | augusto_tebaldi"
3,"franz_brentano | kasimir_twardowski | christian_von_ehrenfels"
3,"giuseppe_corberi | emil_kraepelin | gustavo_modena"
3,"alberto_marzi | enzo_bonaventura | francesco_de_sarlo"
3,"enrico_morselli | moissey_michele_kobylinski | ugo_cerletti"
3,"alfredo_albertini | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"eugenio_medea | alfredo_albertini | zaccaria_treves"
3,"eugenio_medea | angelo_de_vincenti | antigono_raggi"
3,"angelo_de_vincenti | antigono_raggi | lorenzo_ellero"
3,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | augusto_ermentini"
3,"carlo_lorenzo_cazzullo | virginio_porta | augusto_ermentini"
3,"maria_bertolani_del_rio | giuseppe_ferruccio_montesano | giulio_cesare_ferrari"
3,"ferdinando_barison | ludwig_binswanger | massimo_fagioli"
3,"fabrizio_napolitani | ludwig_binswanger | massimo_fagioli"
3,"eugenio_medea | giuseppe_antonini_junior | carlo_pieraccini"
3,"oswald_k_lpe | ferruccio_banissoni | albert_edouard_michotte_van_den_berck"
3,"eugenio_medea | adamo_mario_fiamberti | giuseppe_seppilli"
3,"giulio_cesare_ferrari | pietro_paolo_sarteschi | giovanni_battista_pellizzi"
