size,clique
4,"carl_stumpf | kurt_koffka | wolfgang_k_hler | max_wertheimer"
4,"gaetano_kanizsa | alberto_argenton | paolo_bozzi | fabio_metelli"
3,"carl_stumpf | wolfgang_k_hler | max_wertheimer"
3,"wolfgang_k_hler | max_wertheimer | paolo_bozzi"
3,"kurt_koffka | wolfgang_k_hler | max_wertheimer"
3,"carl_stumpf | kurt_koffka | max_wertheimer"
3,"carl_stumpf | kurt_koffka | wolfgang_k_hler"
3,"kurt_koffka | max_wertheimer | oswald_k_lpe"
3,"gaetano_kanizsa | paolo_bozzi | fabio_metelli"
3,"gaetano_kanizsa | alberto_argenton | paolo_bozzi"
3,"gaetano_kanizsa | alberto_argenton | fabio_metelli"
3,"alberto_argenton | paolo_bozzi | fabio_metelli"
3,"tito_vignoli | cesare_lombroso | paolo_mantegazza"
3,"camillo_golgi | cesare_lombroso | paolo_mantegazza"
3,"ernesto_valentini | gaetano_kanizsa | fabio_metelli"
3,"georg_elias_m_ller | david_katz | g_za_r_v_sz"
3,"carl_stumpf | franz_brentano | anton_marty"
3,"cesare_lombroso | sante_de_sanctis | benigno_di_tullio"
3,"giuseppe_carlo_riquier | riccardo_bozzi | carlo_berlucchi"
3,"franz_brentano | christian_von_ehrenfels | alexius_meinong"
