size,clique
3,"eugenio_medea | serafino_biffi | angelo_de_vincenti"
3,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | carlo_besta"
3,"angelo_de_vincenti | cesare_lombroso | lorenzo_ellero"
3,"eugenio_tanzi | leonardo_bianchi | vito_maria_buscaino"
3,"sante_de_sanctis | gioacchino_fumarola | giovanni_mingazzini"
3,"gioacchino_fumarola | giovanni_mingazzini | ugo_cerletti"
3,"leonardo_bianchi | gioacchino_fumarola | giovanni_mingazzini"
3,"enrico_morselli | sante_de_sanctis | gioacchino_fumarola"
3,"enrico_morselli | gioacchino_fumarola | ugo_cerletti"
3,"ernesto_lugaro | vito_maria_buscaino | alfredo_coppola"
3,"serafino_biffi | angelo_de_vincenti | andrea_verga"
3,"eugenio_tanzi | leonardo_bianchi | rosolino_colella"
3,"rosolino_colella | camillo_golgi | cesare_lombroso"
3,"camillo_golgi | cesare_lombroso | paolo_mantegazza"
3,"angelo_de_vincenti | cesare_lombroso | paolo_mantegazza"
3,"sante_de_sanctis | giovanni_mingazzini | gaetano_perusini"
3,"giovanni_mingazzini | gaetano_perusini | ugo_cerletti"
3,"emil_kraepelin | gaetano_perusini | ugo_cerletti"
3,"franco_basaglia | ferdinando_barison | ludwig_binswanger"
3,"camillo_golgi | cesare_lombroso | arturo_donaggio"
3,"ernesto_lugaro | vito_maria_buscaino | carlo_berlucchi"
3,"eugenio_medea | angelo_de_vincenti | antigono_raggi"
3,"angelo_de_vincenti | antigono_raggi | lorenzo_ellero"
3,"serafino_biffi | cesare_castiglioni | carlo_livi"
3,"serafino_biffi | cesare_castiglioni | andrea_verga"
3,"serafino_biffi | cesare_castiglioni | augusto_tebaldi"
3,"ernesto_lugaro | gastone_canziani | alfredo_coppola"
3,"alfredo_albertini | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"ernesto_lugaro | gastone_canziani | amos_chiabov"
3,"eugenio_medea | alfredo_albertini | zaccaria_treves"
3,"leonardo_bianchi | giovanni_mingazzini | mario_panizza"
3,"dario_de_martis | carlo_lorenzo_cazzullo | giuseppe_carlo_riquier"
3,"ferdinando_barison | ludwig_binswanger | massimo_fagioli"
3,"ferdinando_barison | ludwig_binswanger | lorenzo_calvi"
3,"sante_de_sanctis | vito_massarotti | giovanni_mingazzini"
3,"serafino_biffi | filippo_lussana | andrea_verga"
3,"carlo_lorenzo_cazzullo | virginio_porta | carlo_besta"
3,"dario_de_martis | carlo_lorenzo_cazzullo | virginio_porta"
3,"augusto_tamburini | carlo_livi | ignazio_zani"
3,"ernesto_lugaro | dino_bolsi | paolo_emilio_maspes"
3,"eugenio_tanzi | mario_zalla | filippo_cardona"
3,"cesare_lombroso | sante_de_sanctis | benigno_di_tullio"
3,"franco_basaglia | agostino_pirella | antonio_slavich"
3,"franco_basaglia | ludwig_binswanger | ferruccio_giacanelli"
3,"eugenio_medea | angelo_della_beffa | alberto_madeddu"
