size,clique
4,"societ_italiana_di_psicologia | alberto_marzi | enzo_bonaventura | francesco_de_sarlo"
4,"carl_stumpf | kurt_koffka | wolfgang_k_hler | max_wertheimer"
4,"gaetano_kanizsa | alberto_argenton | paolo_bozzi | fabio_metelli"
4,"alberto_marzi | enzo_bonaventura | maria_luisa_falorni | scuola_magistrale_ortofrenica_di_firenze"
3,"angelo_majorana | sante_de_sanctis | ferruccio_banissoni"
3,"mario_ponzo | angelo_majorana | ferruccio_banissoni"
3,"societ_italiana_di_psicologia | alberto_marzi | enzo_bonaventura"
3,"societ_italiana_di_psicologia | sante_de_sanctis | vittorio_benussi"
3,"gaetano_kanizsa | angelo_majorana | fabio_metelli"
3,"ernesto_valentini | gaetano_kanizsa | fabio_metelli"
3,"edoardo_weiss | sante_de_sanctis | ferruccio_banissoni"
3,"edoardo_weiss | sante_de_sanctis | vittorio_benussi"
3,"societ_italiana_di_psicologia | alberto_marzi | francesco_de_sarlo"
3,"societ_italiana_di_psicologia | enzo_bonaventura | francesco_de_sarlo"
3,"alberto_marzi | enzo_bonaventura | francesco_de_sarlo"
3,"gaetano_kanizsa | paolo_bozzi | fabio_metelli"
3,"wolfgang_k_hler | max_wertheimer | paolo_bozzi"
3,"alberto_marzi | enzo_bonaventura | maria_luisa_falorni"
3,"carl_stumpf | wolfgang_k_hler | max_wertheimer"
3,"mario_ponzo | societ_italiana_di_psicologia | federico_kiesow"
3,"franco_fornari | enzo_morpurgo | luciana_nissim_momigliano"
3,"kurt_koffka | wolfgang_k_hler | max_wertheimer"
3,"kurt_koffka | max_wertheimer | oswald_k_lpe"
3,"carl_stumpf | kurt_koffka | max_wertheimer"
3,"carl_stumpf | kurt_koffka | wolfgang_k_hler"
3,"dina_vallino | franco_fornari | luciana_nissim_momigliano"
3,"gaetano_kanizsa | alberto_argenton | fabio_metelli"
3,"gaetano_kanizsa | alberto_argenton | paolo_bozzi"
3,"alberto_argenton | paolo_bozzi | fabio_metelli"
3,"alberto_marzi | enzo_bonaventura | scuola_magistrale_ortofrenica_di_firenze"
3,"alberto_marzi | maria_luisa_falorni | scuola_magistrale_ortofrenica_di_firenze"
3,"enzo_bonaventura | maria_luisa_falorni | scuola_magistrale_ortofrenica_di_firenze"
3,"edoardo_weiss | vanda_shrenger_weiss | sante_de_sanctis"
3,"franz_brentano | vittorio_benussi | alexius_meinong"
3,"franz_brentano | christian_von_ehrenfels | alexius_meinong"
3,"mario_ponzo | ezio_ponzo | ernesto_valentini"
3,"edoardo_weiss | paul_federn | vanda_shrenger_weiss"
3,"alberto_marzi | maria_luisa_falorni | consultorio_universitario_per_l_orientamento_professionale_cuop_di_firenze"
3,"georg_elias_m_ller | david_katz | g_za_r_v_sz"
3,"luigi_meschieri | ferruccio_banissoni | maison_d_accueil_di_rocca_di_papa"
3,"giovanni_carlo_zapparoli | rodolfo_reichmann | franco_fornari"
